Name,Purpose,Quantity,Unit Cost (USD),Total Cost (USD),Distributor,Manufacturer,Manufacturer Part Number,PCB/Schematic References,PCB Footprint,Link,Assembly Scope,Fit / Notes
Seeed Studio XIAO ESP32-S3,"USB HID controller, serial transport, and 3.3 V supply",1,7.49,7.49,DigiKey,Seeed Studio,113991114,U1,Blip:XIAO_ESP32S3_Socket,https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/113991114/17847787,PCB-fitted,"Install in two 7-position 2.54 mm female sockets. USB-C faces the board edge marked USB-C ACCESS."
XIAO 7-position female socket header,"Removable PCB socket for the XIAO ESP32-S3",2,1.36,2.72,DigiKey,Samtec,SSW-107-01-T-S,U1 socket,Blip:XIAO_ESP32S3_Socket,https://www.digikey.com/en/products/detail/samtec-inc/SSW-107-01-T-S/1111321,PCB assembly,"Two single-row sockets are required; verify pin 1 and installed height before manufacture."
XIAO 7-position male header,"Headers soldered to the removable XIAO ESP32-S3",2,0.63,1.26,DigiKey,Samtec,TSW-107-07-T-S,U1 module header,Blip:XIAO_ESP32S3_Socket,https://www.digikey.com/en/products/detail/samtec-inc/TSW-107-07-T-S/1101256,Module assembly,"Two single-row headers mate with the PCB sockets; the XIAO module is supplied without these headers."
Newhaven 20x4 Character OLED Display,"Contextual Status display",1,36.27,36.27,DigiKey,Newhaven Display International,NHD-0420CW-AB3,DS1,NHD-0420CW-AB3:LCD_NHD-0420CW-AB3,https://www.digikey.com/en/products/detail/newhaven-display-intl/NHD-0420CW-AB3/5022951,PCB assembly,"Exact 20-pin display and matching custom footprint."
Newhaven 20-position female socket header,"Removable PCB socket for the character display",1,3.93,3.93,DigiKey,Samtec,SSW-120-01-T-S,DS1 socket,NHD-0420CW-AB3:LCD_NHD-0420CW-AB3,https://www.digikey.com/en/products/detail/samtec-inc/SSW-120-01-T-S/1111372,PCB assembly,"One 20-position 2.54 mm socket; verify pin 1, installed height, and display clearance."
Newhaven 20-position male header,"Header soldered to the character display",1,1.63,1.63,DigiKey,Samtec,TSW-120-07-T-S,DS1 module header,NHD-0420CW-AB3:LCD_NHD-0420CW-AB3,https://www.digikey.com/en/products/detail/samtec-inc/TSW-120-07-T-S/1101300,Module assembly,"One 20-position 2.54 mm header mates with the PCB socket."
0.96-inch 128x64 I2C OLED Module,"Persistent Status display",1,4.90,4.90,DisplayModule,DisplayModule,DM-OLED096-636,U2,DM-OLED096-636:MODULE_DM-OLED096-636,https://www.displaymodule.com/products/0-96-inch-oled-graphic-display-128x64-with-i2c,PCB assembly,"Use the 26 mm x 26 mm I2C module matching the listed custom footprint."
Graphical OLED 4-position female socket header,"Removable PCB socket for the graphical display",1,1.07,1.07,DigiKey,Samtec,SSW-104-01-T-S,U2 socket,DM-OLED096-636:MODULE_DM-OLED096-636,https://www.digikey.com/en/products/detail/samtec-inc/SSW-104-01-T-S/1111318,PCB assembly,"One 4-position 2.54 mm socket; verify GND pin 1 and installed height."
Graphical OLED 4-position male header,"Header soldered to the graphical display",1,0.55,0.55,DigiKey,Samtec,TSW-104-07-T-S,U2 module header,DM-OLED096-636:MODULE_DM-OLED096-636,https://www.digikey.com/en/products/detail/samtec-inc/TSW-104-07-T-S/1101247,Module assembly,"One 4-position 2.54 mm header mates with the PCB socket."
MCP23017 16-bit I2C GPIO expander,"Drives the 4-row by 3-column switch matrix",1,1.69,1.69,DigiKey,Microchip Technology,MCP23017-E/SP,U3,Package_DIP:DIP-28_W7.62mm,https://www.digikey.com/en/products/detail/microchip-technology/MCP23017-E-SP/894272,PCB-fitted,"Use the SPDIP-28 package shown by the PCB footprint. Do not substitute SOIC or SSOP."
